Player,avg,gp-gs,ab,r,h,2b,3b,hr,rbi,tb,slg%,bb,hbp,so,gdp,ob%,sf,sh,sb-att
"Brady Neal, LS",0.276,44-33,116,25,32,8,0,9,31,67,0.578,20,6,35,2,0.408,0,0,0-1
"Cannon Peebles, UT",0.216,54-30,116,30,25,7,0,2,24,38,0.328,30,3,34,2,0.379,4,0,2-4
"Brock Daniels, MO",0.296,35-29,115,18,34,6,0,4,28,52,0.452,9,4,40,2,0.356,4,2,11-14
"Brayden Randle, UM",0.204,43-34,113,15,23,4,1,2,14,35,0.31,13,6,32,0,0.316,1,4,4-5
"Kaeden Kent, AM",0.327,51-24,110,23,36,6,0,4,28,54,0.491,16,1,20,3,0.414,1,1,0-2
"Nolan Souza, AR",0.255,40-31,110,21,28,7,0,7,28,56,0.509,18,2,38,1,0.366,1,1,3-3
"Dalton Bargo, UT",0.28,50-27,107,27,30,5,0,8,27,59,0.551,12,5,37,1,0.373,2,0,2-3
"Travis Chestnut, AM",0.262,49-38,107,41,28,5,1,3,13,44,0.411,29,7,43,0,0.441,2,2,18-19
"Bobby Peirce, AU",0.224,35-28,107,25,24,2,2,5,20,45,0.421,16,5,31,2,0.352,0,0,4-5
"Reese Chapman, UT",0.274,50-32,106,22,29,5,0,7,31,55,0.519,17,7,38,3,0.398,3,1,2-2
"Alex Milazzo, LS",0.267,50-31,105,23,28,4,0,0,14,32,0.305,16,2,28,2,0.371,1,5,0-2
"Braden Holcomb, VU",0.252,35-30,103,24,26,7,0,5,17,48,0.466,15,0,43,1,0.345,1,0,1-1
"Judd Utermark, UM",0.23,36-27,100,16,23,6,0,5,12,44,0.44,10,2,46,0,0.313,0,0,2-3
"Austin Brinling, SC",0.303,33-25,99,22,30,3,0,1,11,36,0.364,14,6,17,2,0.413,2,3,4-7
"Eli Berch, UM",0.204,42-33,98,16,20,2,0,1,9,25,0.255,16,3,35,2,0.333,0,1,0-0
"Mateo Serna, MO",0.24,28-26,96,13,23,4,0,4,19,39,0.406,9,3,38,2,0.324,0,0,0-0
"Aaron Downs, MS",0.305,30-24,95,16,29,4,0,0,9,33,0.347,13,1,31,3,0.394,0,2,0-0
"Cade Belyeu, AU",0.284,38-26,95,28,27,5,2,8,20,60,0.632,12,13,32,0,0.426,2,0,4-5
"Joe Powell, MS",0.269,34-28,93,17,25,3,0,5,18,43,0.462,11,1,20,3,0.343,3,1,0-0
"Jake Brown, LS",0.264,56-21,91,23,24,4,0,4,13,40,0.44,10,6,21,3,0.37,1,0,3-4
"Tucker Moore, MO",0.22,30-24,91,19,20,3,0,2,5,29,0.319,12,6,31,1,0.349,0,0,2-3
"Thomas Curry, MO",0.222,27-25,90,20,20,6,0,4,17,38,0.422,19,7,35,1,0.393,1,1,0-0
"Jackson Beaman, MO",0.247,34-25,89,27,22,4,0,6,19,44,0.494,22,4,27,0,0.414,1,0,2-2
"Will Edmunson, AR",0.241,39-22,87,26,21,5,0,1,10,29,0.333,11,6,12,2,0.362,1,2,6-7
"Carter Wright, AU",0.341,28-19,85,15,29,7,0,0,13,36,0.424,8,1,14,0,0.4,1,0,3-4
"Caden Green, AU",0.31,33-24,84,16,26,5,1,3,18,42,0.5,6,3,13,1,0.372,1,1,2-2
"Ross Lovich, AR",0.286,34-24,84,19,24,4,1,2,16,36,0.429,12,6,24,2,0.408,1,3,2-3
"Tyler Causey, SC",0.25,31-23,84,21,21,4,1,4,21,39,0.464,19,3,37,2,0.402,1,0,0-0
