Player,era,w-l,app-gs,cg,sho,sv,ip,h,r,er,bb,so,2b,3b,hr,ab,b/avg,wp,hbp,bk
"Levi Huesman, VU",6,1-0,10-0,0,0/0,0,12,14,9,8,10,13,4,0,1,47,0.298,2,2,0
"Luke Dotson, MS",8.25,0-0,11-0,0,0/0,0,12,15,11,11,5,19,4,0,0,51,0.294,1,2,0
"Colby Frieda, UK",7.71,0-0,12-0,0,0/0,0,11.2,13,11,10,10,17,2,0,2,48,0.271,3,5,0
"Jj Garcia, UT",3.97,3-0,11-0,0,0/2,0,11.1,8,5,5,2,18,2,0,3,42,0.19,0,0,0
"Pierce George, UA",4.76,1-0,12-0,0,0/1,0,11.1,8,6,6,11,10,2,0,0,36,0.222,3,3,1
"Josh Mcdevitt, MO",11.12,0-1,8-3,0,0/0,0,11.1,16,15,14,8,13,3,1,2,46,0.348,3,5,0
"Alex Petrovic, AU",5.73,0-0,7-0,0,0/0,0,11,15,8,7,3,17,5,0,5,48,0.313,0,1,0
"Dylan Carter, AR",8.18,1-0,8-0,0,0/2,0,11,12,10,10,6,6,2,0,3,42,0.286,1,1,0
"Kaiden Wilson, AM",9.82,0-2,10-0,0,0/0,0,11,17,13,12,7,15,2,0,4,47,0.362,0,4,0
"Andrew Dutkanych Iv, VU",3.38,0-0,5-1,0,0/0,0,10.2,7,4,4,6,14,3,0,1,37,0.189,2,1,0
"Jansen Kenty, UA",3.38,0-1,10-0,0,0/1,0,10.2,6,4,4,5,4,1,0,2,33,0.182,0,2,0
"Charlie Miller, MO",5.91,0-0,12-0,0,0/0,0,10.2,11,7,7,11,12,1,0,2,39,0.282,4,3,0
"Kyler Carmack, UM",9.28,0-0,9-1,0,0/0,0,10.2,14,12,11,9,11,1,1,4,44,0.318,0,1,1
"Drake Quinn, SC",6.3,0-0,9-0,0,0/0,0,10,8,8,7,6,11,0,0,3,37,0.216,1,5,1
"Max Dejong, UG",7.2,0-0,10-0,0,0/0,0,10,11,8,8,4,7,2,0,3,39,0.282,0,0,0
"Brandt Pancer, UG",10.8,0-0,10-1,0,0/0,0,10,9,12,12,10,11,1,1,2,37,0.243,1,1,0
"Zach Devito, UG",2.79,2-0,11-1,0,0/0,0,9.2,7,3,3,7,6,1,0,2,36,0.194,0,0,0
"Sam Tookoian, UM",4.66,0-0,9-0,0,0/0,0,9.2,10,7,5,4,16,2,0,2,40,0.25,1,1,0
"Robert Satin, UF",4,1-0,10-0,0,0/0,0,9,8,4,4,12,8,2,0,0,34,0.235,2,2,0
"Micah Bucknam, LS",7,0-0,8-0,0,0/0,0,9,12,8,7,3,10,3,0,2,38,0.316,0,0,0
"David Horn Jr., VU",10,0-0,10-0,0,0/0,0,9,8,11,10,11,9,1,1,2,36,0.222,1,6,0
"Cam Johnson, LS",12,0-0,13-0,0,0/2,0,9,5,12,12,16,13,1,0,0,30,0.167,4,3,0
"Austin Hunley, UT",6.23,1-0,8-0,0,0/1,0,8.2,12,7,6,1,5,2,1,1,37,0.324,0,1,0
"Ben Pedersen, MO",7.27,0-0,10-0,0,0/0,1,8.2,10,7,7,8,8,2,0,1,32,0.313,2,2,1
"Derek Schaefer, UT",9.35,2-0,10-2,0,0/2,0,8.2,10,9,9,8,10,3,0,1,34,0.294,0,0,0
"Luke Jackson, AM",5.4,0-0,8-2,0,0/1,0,8.1,8,5,5,6,4,0,0,2,31,0.258,1,2,0
"Bradley Loftin, MS",3.38,0-0,3-2,0,0/0,0,8,7,4,3,1,12,2,0,1,30,0.233,1,1,0
"Cole Cheatham, MS",4.7,0-0,9-0,0,0/0,0,7.2,6,5,4,7,6,0,0,0,31,0.194,0,0,0
"Sam Mitchell, UA",5.87,1-0,5-0,0,0/0,0,7.2,8,5,5,5,3,1,0,0,29,0.276,0,1,0
"Zach Crotchfelt, AU",6.14,1-1,7-0,0,0/0,0,7.1,10,6,5,6,10,0,1,2,31,0.323,2,2,0
"Ben Schorr, AU",7.36,1-1,10-0,0,0/0,0,7.1,9,6,6,4,3,5,0,2,29,0.31,2,2,1
"Blake Gillespie, UG",12.27,0-0,9-1,0,0/0,0,7.1,14,12,10,5,8,3,1,2,37,0.378,1,0,0
"Hagan Banks, UA",5.14,0-1,4-3,0,0/1,0,7,7,4,4,3,9,0,0,2,26,0.269,0,0,0
"Joey Wittig, SC",6.75,0-0,5-0,0,0/0,0,6.2,6,5,5,3,6,2,0,2,24,0.25,1,3,0
"Nic Smith, MO",10.8,0-1,8-0,0,0/0,0,6.2,11,8,8,9,4,2,0,1,27,0.407,6,1,0
"Ben Cleaver, UK",4.26,2-0,6-0,0,0/0,1,6.1,4,3,3,3,11,2,0,0,22,0.182,2,1,0
"Tyler Mcloughlin, UG",6,0-0,6-0,0,0/1,0,6,4,5,4,8,7,1,0,0,21,0.19,2,2,1
"Sawyer Hawks, VU",10.5,2-0,5-0,0,0/0,0,6,7,7,7,7,9,2,0,1,23,0.304,1,0,0
"Peyton Smith, AM",12,0-0,7-0,0,0/0,0,6,13,8,8,4,7,4,0,2,30,0.433,2,2,0
"Michael Polk, SC",7.94,0-0,8-0,0,0/0,0,5.2,9,5,5,3,9,3,0,0,26,0.346,2,4,1
"Griffin Graves, AU",10.12,1-0,6-0,0,0/0,0,5.1,7,7,6,6,10,3,0,1,23,0.304,0,0,0
